slot_id,story_file,story_self,paragraph_index,idml_paragraph_style,text_preview,content_count,footnote_count,replace_scope,permission
u10a9_P0023,Stories/Story_u10a9.xml,u10a9,23,01 本文,「準備ができた資料については、できた順でいいので、林に渡してください」↵西郷にこう伝えながら、米倉は林のほうをみる。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0024,Stories/Story_u10a9.xml,u10a9,24,01 本文,林が大きくうなずいている。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0025,Stories/Story_u10a9.xml,u10a9,25,01 本文,「頂戴した内容が十分でない場合や、さらなる資料が必要な場合は、林から別途依頼させてもらいます。↵デューデリジェンスのときと同様です」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0026,Stories/Story_u10a9.xml,u10a9,26,01 本文,「承知しました」↵と応えながら、西郷は、↵（林さんの仕事ができた）↵と思う。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0027,Stories/Story_u10a9.xml,u10a9,27,01-03 項 見出し,TSAと事業運営の独り立ち,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0028,Stories/Story_u10a9.xml,u10a9,28,01 本文,「それから、もう一つ、あります。↵電子さんの喫緊の課題の一つは、独り立ちして事業運営できる体制を一刻も早く構築することです。↵そのために何が必要かについて、これも林がリストにしてくれていますので、過不足があればそれを修正して、各項目について、誰がどういう時間軸で、何を担当するかを整理してもらえますか。↵要は、実行計画に,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0029,Stories/Story_u10a9.xml,u10a9,29,01 本文,西郷は、渡されたリストをざっと見て、↵（内容としては、ほぼ想定どおりだ。↵しかしこれを実行計画にまで落とすとなると、各部署との調整が大変だ）↵と思いながら、何度か浅くうなずく。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0030,Stories/Story_u10a9.xml,u10a9,30,01 本文,クロージング後の一定期間、ミツカネグループの資産やシステムを継続して使用することについて、TSAを交わし、大手町とジェイン、それからミツカネ電子の間で認識を合わせていた。↵IT　IT（Information Technology）とは、インターネットやスマートフォン、パソコンなどを使って「情報の収集・保存・活用」する技,4,1,PARAGRAPH_CONTENT_ONLY,FOOTNOTE_TEXT_ONLY_REPLACE_ANCHOR_LOCKED
u10a9_P0031,Stories/Story_u10a9.xml,u10a9,31,01 本文,「移行期間中は、ミツカネ工業さんにフィーを払いますので、できるだけ早く移行を終わらせましょう」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0032,Stories/Story_u10a9.xml,u10a9,32,01 本文,（こういう発言は、数字を追いかける投資ファンドらしい）↵と思いながら、西郷は大きくうなずく。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0033,Stories/Story_u10a9.xml,u10a9,33,01 本文,「このとりまとめも、林にやってもらいますが、いいですね？」↵と米倉が確認する。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0034,Stories/Story_u10a9.xml,u10a9,34,01 本文,（皆、手一杯の状況だから、これを林さんがやってくれるのであれば有難い）↵と思うものの、↵（社内のことを知らない林さんに、本当にできるかなぁ・・・）↵と心配でもある。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0035,Stories/Story_u10a9.xml,u10a9,35,01 本文,林の顔を見ると、爽やかに、微笑みながら、うなずいている。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0036,Stories/Story_u10a9.xml,u10a9,36,01 本文,（きっと、米倉さんとの間では、話ができているのだろう。小杉もつけたし、林さんに異存がなければ、そうしてもらおう）,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0037,Stories/Story_u10a9.xml,u10a9,37,01 本文,再度、大きくうなずく西郷に、↵「全てクリアですね？」↵と米倉が再度確認する。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0038,Stories/Story_u10a9.xml,u10a9,38,01-03 項 見出し,これまであきらめていた投資,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0039,Stories/Story_u10a9.xml,u10a9,39,01 本文,「それから、もう一つお願いがあります。↵これまでに『あきらめた投資』についても、まとめておいてもらえますか？」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0040,Stories/Story_u10a9.xml,u10a9,40,01 本文,「えっ？あきらめた投資？」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0041,Stories/Story_u10a9.xml,u10a9,41,01 本文,「実施したかったけれども、ミツカネ工業から見送りとされた投資とか、出しても認めてもらえないだろうと最初からあきらめた投資です」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0042,Stories/Story_u10a9.xml,u10a9,42,01 本文,「それは、たくさんあります！」↵つい声のトーンが高くなる西郷。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0043,Stories/Story_u10a9.xml,u10a9,43,01 本文,「そうだと思っていました。↵たとえば直近３年くらいの間で、具体的にどういう投資の構想があったかをまとめてもらいたいのです。↵それから、ミツカネ電子さんの強みについても、分析したものがありましたら、まとめておいてください」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0044,Stories/Story_u10a9.xml,u10a9,44,01 本文,いくつ宿題が出たか、心の中で指を折って数えながら、大きくうなずく西郷。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0045,Stories/Story_u10a9.xml,u10a9,45,01 本文,「今日、お願いした件について、何か疑問点がありましたら、詳細は、林がわかっていますので、林に何でも聞いてください。↵では、あとはよろしく！」↵と言いながら、米倉は、帰り支度を始めている。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0046,Stories/Story_u10a9.xml,u10a9,46,01 本文,席を立とうとする米倉に、西郷が↵「あのぉ、今日は、1 on 1面談の打ち合わせだったんじゃなかったんでしたっけ？」↵と念のため確認する。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0047,Stories/Story_u10a9.xml,u10a9,47,01 本文,「あっ、それは、進めておいてください。対象者リストができたら、メールで送ってください」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0048,Stories/Story_u10a9.xml,u10a9,48,01 本文,「・・・あっ、はい・・・」↵（なんだ・・・夕べはそう言っていたが、それは、ここへ来るための口実だったのか・・・）,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0049,Stories/Story_u10a9.xml,u10a9,49,01 本文,「では、私はこれで失礼します。お邪魔しました。↵林さんのことも、よろしくお願いします」↵,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0050,Stories/Story_u10a9.xml,u10a9,50,01-02 節 数字,２,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0051,Stories/Story_u10a9.xml,u10a9,51,01-02 節 見出し,ジェイン始動の環境整備,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0052,Stories/Story_u10a9.xml,u10a9,52,01-03 項 見出し,米倉の1 on 1面談,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0053,Stories/Story_u10a9.xml,u10a9,53,01 本文,それから数日経ったある日のお昼前。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0054,Stories/Story_u10a9.xml,u10a9,54,01 本文,「西郷さん、今日は、午後、外出なんだけど、その前に、米倉さんの1 on 1面談の件で、ちょっと話できる？↵申し訳ないけど、弁当を食べながらでいい？」↵と寺田社長が西郷を呼び止める。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0055,Stories/Story_u10a9.xml,u10a9,55,01 本文,「わかりました。コンビニで何か買ってきます。↵社長の分も買ってきますが、何がいいですか？」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0056,Stories/Story_u10a9.xml,u10a9,56,01 本文,「いつもすまないね。有難う。↵何か軽めのもので・・・」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0057,Stories/Story_u10a9.xml,u10a9,57,01 本文,数日前の会食で、米倉から、↵『事業をよりよく理解するために、部長以上と1 on 1で面談したい』↵と言われたため、寺田社長と西郷は、面談者リストを作成し、それを米倉に渡しておいた。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0058,Stories/Story_u10a9.xml,u10a9,58,01 本文,その後、米倉から、↵『せっかくの機会なので、多少、若手の社員にも会いたい』↵との連絡が寺田社長に入った。↵寺田社長は、その真意を聞こうと思い、夕べ、取引先との忘年会のあと、すでに遅い時間になっていたが、米倉と会って少し話をした。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0059,Stories/Story_u10a9.xml,u10a9,59,01 本文,弁当を食べながら、西郷が新たなリストをみている。↵「すごい数に膨れ上がりましたね。↵部長以上って言っていませんでしたっけ。若手も入っていますね」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0060,Stories/Story_u10a9.xml,u10a9,60,01 本文,「うん。あのときは、部長以上の話を聞けば、事業運営の実態がわかると思っていたようだ。その後、↵『工場にしても、営業部門にしても、部長よりもその下の層のほうが、実態をよくわかっているかもしれないから、その下の層からも話を聞きたい』↵と言い出してね」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0061,Stories/Story_u10a9.xml,u10a9,61,01 本文,「・・・確かに・・・拠点によっては、そういう状況になっているところもありますが・・・」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0062,Stories/Story_u10a9.xml,u10a9,62,01 本文,「誰がお神輿に乗っているかについても、どうやらby nameで、把握しているようだ」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0063,Stories/Story_u10a9.xml,u10a9,63,01 本文,「えっ？・・・それって、もしかして・・・関東工場のこと・・・でしょうか・・・」↵西郷が小さい声で確認する。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0064,Stories/Story_u10a9.xml,u10a9,64,01 本文,「うん、たぶん。↵『たとえば、大手町からの転籍者がいるところとか』↵と言っていた」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0065,Stories/Story_u10a9.xml,u10a9,65,01 本文,「間違いないですね。↵黒田さんのことを察知したんですね・・・ウチも大手町の受け皿になっていなかったわけではないですからねぇ・・・」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0066,Stories/Story_u10a9.xml,u10a9,66,01-03 項 見出し,人事にまで口出しするのか！,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0067,Stories/Story_u10a9.xml,u10a9,67,01 本文,少し間があって、寺田社長が低い声でこう話し出す。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0068,Stories/Story_u10a9.xml,u10a9,68,01 本文,「これは、西郷さん限りにしておいてほしいんだけど・・・↵『会社の成長に貢献しない役職者については、このタイミングで辞めてもらうことを考えたらどうか』↵と、米倉さんに言われた・・・」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0069,Stories/Story_u10a9.xml,u10a9,69,01 本文,「えっ！ジェインは、ウチの人事にまで口を出すつもりですか？」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0070,Stories/Story_u10a9.xml,u10a9,70,01 本文,「うん、私も最初はそう思った。でも・・・ここで黒田さんに辞めてもらえるんだったら・・・」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0071,Stories/Story_u10a9.xml,u10a9,71,01 本文,「・・・う～ん、確かに・・・こんなことを言っては申し訳ないですが・・・黒田さんは、大手町の組織文化を引きずっていて、パワハラ体質でもあります・・・黒田さんがいなくなったら、若手は歓迎するでしょう。↵会社としてもコンプラ　コンプライアンスのこと。面のリスクが減ります。↵関東工場からパワハラ通報があると、いつもドキドキです,4,1,PARAGRAPH_CONTENT_ONLY,FOOTNOTE_TEXT_ONLY_REPLACE_ANCHOR_LOCKED
u10a9_P0072,Stories/Story_u10a9.xml,u10a9,72,01 本文,「うん、これまでは、大手町の手前、そういうことはしにくかった。↵というか・・・我々が腰抜けだっただけかもしれないけど・・・。↵だからまぁ、複雑な気持ちなんだけど・・・」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0073,Stories/Story_u10a9.xml,u10a9,73,01 本文,「今後のことを考えると、過去の遺産を、このタイミングで置いていくのも一つですね。↵ここでシガラミを断ち切れるのであれば・・・」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0074,Stories/Story_u10a9.xml,u10a9,74,01 本文,「うん・・・ただ・・・大手町との関係もあるので、慎重に進めなきゃいけない」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0075,Stories/Story_u10a9.xml,u10a9,75,01 本文,「そうですね。↵それにしても、会食からまだ数日なのに、米倉さんは、かなりの情報を手にしていますね」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0076,Stories/Story_u10a9.xml,u10a9,76,01 本文,「ジェインの情報収集能力は軽視できないよ。↵『デューデリジェンスのレポートを読み返した』↵と言っていたが・・・米倉さんは、何か別の情報源も、持っているようだ。↵ウチの内情について、細かいことまでよく知っていた」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0077,Stories/Story_u10a9.xml,u10a9,77,01 本文,「そうでしたか・・・林さん？・・・いや、彼はまだそこまでウチのことをわかっていない・・・」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0078,Stories/Story_u10a9.xml,u10a9,78,01 本文,「うん・・・米倉さんからは、このリストをもとに、↵『クロージングの翌日から２週間で、1 on 1面談をスケジューリングしてくれ』↵って頼まれた」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0079,Stories/Story_u10a9.xml,u10a9,79,01 本文,「えっ？たった２週間で！↵地方の工場とか事業所には、視察を兼ねて、足を運ぶのですよね。だったら、２週間だと、ちょっと無理じゃないですか？↵一日に何人と会うつもりでしょうか」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0080,Stories/Story_u10a9.xml,u10a9,80,01 本文,「私も、↵『この人数となると、もう少し期間をかけたほうがいい』↵とアドバイスしたんだけど、↵『8０名くらいだったら大丈夫です』↵って言われて。↵西郷さん、忙しいときに悪いけど、アポの設定をお願いできる？」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0081,Stories/Story_u10a9.xml,u10a9,81,01 本文,「わかりました。クロージングまでに、まだ時間がありますから、調整して面談を設定します。↵しかし・・・↵『面談の目的は何か』↵とか、↵『なぜ自分が面談の対象になっているのか』↵とか、いろんなことを聞かれそうですね」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0082,Stories/Story_u10a9.xml,u10a9,82,01 本文,「そうかもしれない。そこは、率直に、↵『各事業の実態を直接ヒアリングしたい』↵と米倉さんが言っているって、伝えるしかないだろうね」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0083,Stories/Story_u10a9.xml,u10a9,83,01 本文,「そうですね。それでも何人かは、↵『何か裏があるんじゃないか』↵って、聞いてくるでしょうね。↵目に浮かぶようだなぁ。↵それと・・・２週間でとなると、米倉さんが疲れないようにとか、バッファのための休憩を入れて、などといった配慮は入れられませんが、いいのですね」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0084,Stories/Story_u10a9.xml,u10a9,84,01 本文,「うん、聞いてみてもいいけど、↵『必要ない』↵って言うと思うよ。↵1 on 1面談をうけて、↵『やらなきゃいけないことがたくさんあるから、早く実施したい』↵って、言ってた。↵それからクロージングの日には、↵『まとまった時間をとって、今後のことを話しましょう』↵とのことだ」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0085,Stories/Story_u10a9.xml,u10a9,85,01 本文,「わかりました・・・あっ、米倉さんとの忘年会は？」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0086,Stories/Story_u10a9.xml,u10a9,86,01 本文,「それは、やらないと思う。↵新年会も、こちらからは言い出さないほうがいい。↵『そんな時間があるんだったら、頼んだ仕事を早くやってくれ』↵って言われそうだ」↵と言いながら笑う寺田社長。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0087,Stories/Story_u10a9.xml,u10a9,87,01 本文,「わかりました。では、すぐに1 on 1面談のアポ入れを始めます」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0088,Stories/Story_u10a9.xml,u10a9,88,01-02 節 数字,３,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0089,Stories/Story_u10a9.xml,u10a9,89,01-02 節 見出し,寺田社長と日下部代表パートナーの忘年会,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0090,Stories/Story_u10a9.xml,u10a9,90,01 本文,新年が明けた,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0091,Stories/Story_u10a9.xml,u10a9,91,01 本文,少し経って、新年を迎えた。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0092,Stories/Story_u10a9.xml,u10a9,92,01 本文,仕事始めから１週間ほど経ったある日、寺田社長が、パントリーで西郷に声をかける。↵「西郷さん、なんだか久しぶりだね。コーヒーでもどおお？」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0093,Stories/Story_u10a9.xml,u10a9,93,01 本文,（本当に久しぶりだ）↵と思いながら、西郷は、寺田社長と一緒に社長室に入る。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0094,Stories/Story_u10a9.xml,u10a9,94,01 本文,仕事始めの日に、新年の挨拶をして以来、雑談さえしていなかった西郷は、↵「松がとれてずいぶん経ちますが、お正月は、多少、ゆっくりと過ごせましたか？」↵と、寺田社長に、正月休みの話題を振る。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0095,Stories/Story_u10a9.xml,u10a9,95,01 本文,「ほぼウチにいたんだけど、仕事のことが頭から離れなくてね。↵新年という感じが全くしなかった。↵でも今年は、大変な年になりそうだから、初詣に行って、お祓いをしてもらったよ」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0096,Stories/Story_u10a9.xml,u10a9,96,01 本文,「そうでしたか。↵先週から、社長は、ほとんど会社にいらっしゃいませんでしたね。↵私もここに入るのが久しぶりです」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0097,Stories/Story_u10a9.xml,u10a9,97,01 本文,「うん、新年早々、外出ばかりだ」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0098,Stories/Story_u10a9.xml,u10a9,98,01 本文,「挨拶廻りですか？↵事業所や工場にも行かれていると聞いています」,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0099,Stories/Story_u10a9.xml,u10a9,99,01 本文,「そうそう。もっぱらお客さん廻りと、事業所廻りだ。↵実はね、納会が過ぎてからだったんだけど、ジェインの日下部さんから連絡をもらって、↵『二人で忘年会をしよう』↵と言われて、食事に行ったんだ。↵日下部さんは、大手町のFAから、↵『クロージング前に電子にあんまりちょっかいを出すな』↵って釘を刺されたらしくて、くれぐれもこっ,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0100,Stories/Story_u10a9.xml,u10a9,100,01 本文,「あの会食のことが、FAの耳に入ったのでしょうか・・・」↵首をすくめる西郷。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0101,Stories/Story_u10a9.xml,u10a9,101,01 本文,「そのようだ。↵林さんがウチに来ていることも、FAは知っているみたいだよ。↵でも日下部さんは、全く気にしていなくて、↵『そういうことなので、こっそりと会いましょう』↵ということになってね」↵と言いながら、寺田社長は大きな笑みをこぼす。,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
u10a9_P0102,Stories/Story_u10a9.xml,u10a9,102,01-03 項 見出し,従業員とお客さんをしっかりグリップ,1,0,PARAGRAPH_CONTENT_ONLY,TEXT_ONLY_REPLACE
