id,source_csv_row,source_doc,source_type,target_story,block_id,seq,docx_paragraph_index,word_paragraph_style,inferred_role,idml_paragraph_style_candidate,permission,text,text_sha256
18,18,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,207,Normal,,01 本文,TEXT_ONLY_REPLACE,"子会社の立場で、親会社の意思決定を覆すことなどできない。
でも、知りもしない会社に売られてしまうなんて、ありえない。
大手町が『売却』と言うのなら、納得できる売却先を自分たちで探すしかない。
競合会社などに売られてしまったら、もう終わりだ。社員がみんな辞めてしまう。
『親会社は、そんなヒドイことはしないだろう』
と、外の人は言うかもしれない。しかしながらそれは、社内政治が蠢く大手町の内情を知らない人の発言だ。
大手町は、いざとなったら、何をやらかすかわからない。
（親会社の温情に期待しても、結局、馬鹿を見るのは自分たちだ）
売却対象となった電子の寺田社長たちは、最悪の事態に陥ることを恐れた。",fff607b4df960939bab11dafe443c8e6480893be0414cee54d784049fed64a1a
19,19,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,208,Normal,,01 本文,TEXT_ONLY_REPLACE,そのようななかで、寺田社長は、この会席料理屋でジェインと出会った。,d12f350ad43a54f783216e957b041f31eb76307bcb865509d855acfe476d640b
20,20,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,209,Normal,,01 本文,TEXT_ONLY_REPLACE,"「あの頃は、どうやって新たな株主探しをしたらいいかわからず、全くの手探り状態だった。
投資ファンドがウチの新たな株主になるというイメージは、全くなかった。
『何か新しいアイディアがあるかもしれない』
という、ぼんやりとした期待で、あの日、ここでジェインと会ったんだったね」",dc9cab581974167100a0f1040b3a93df4af9b3d4943dcc6daf8b053b07e410da
21,21,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,210,Normal,,01 本文,TEXT_ONLY_REPLACE,"「そうでした。
あの日は、日下部代表パートナーとは、情報交換くらいのつもりでした。
それが、初対面にもかかわらず、随分と長時間にわたって、ジェインの話に聞き入ることになって・・・いやぁ、わからないものですね。
あの日を境に、私たちの株主探しには、一定の方向性が見い出されました。
ここは記念すべき場所です」",95410410c12fa016f5a680542e8e021957131c7b531ed3090df7c1b9ad6eb785
22,22,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,211,Normal,,01 本文,TEXT_ONLY_REPLACE,西郷も感慨深い表情だ。,3ddc09facd6d486cf21e6b6d1d1cd03053bbec5bee82a420e57cee6b523b0923
23,23,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,212,Normal,,01 本文,TEXT_ONLY_REPLACE,"「ここでジェインと話をして、彼らの投資哲学に触れて、そしてその後、何度か日下部代表パートナーと話をするなかで、
『ジェインとなら、私たちの夢を一緒に実現できるかもしれない』
と思うようになった。
『同業他社をロールアップして、日本で一番、世界でも三本の指に入る企業になる』
という、大きな夢物語をジェインと一緒に達成できるかもしれないと、本気で思えるようになった。
それが、
『会社のためにも、社員のためにも、最も良い方向だ』
と考えるようになった。
大手町には、
『ジェインと話をしてほしい』
と我々の要望を伝えた。
しかし・・・ふたを開けたら、あんな盛大なオークションにされてしまって・・・FOR SALEと大きく書かれて、ショーケースに陳列されしまった。
我々の気持は、大手町には届かなかったね」",95bddcd8ce252eb4f5ac0fcf5d0ab600e246854bcf1178b4bc0fb84174770ac5
24,24,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,213,Normal,,01 本文,TEXT_ONLY_REPLACE,やるせない表情をする寺田社長。,9c57fbce978aaa4c838331ec09a32445712af545945114051a9b2389c42a07eb
25,25,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,214,Normal,,01 本文,TEXT_ONLY_REPLACE,"「今となっては、思い出話ですが、あのときは、本当に悔しかったです。
大手町に対して、何度、腹の煮えたぎるような思いをしたことか。
オークションの最中も、何度も、煮え湯を飲まされました。
買い手候補のネガティブリストに『事業会社』と書いて出したのに、最後の最後、ジェインと一騎打ちになったのは、結局、事業会社でした・・・。
デューデリジェンスにおいても、些細なことで、大手町には振り回されてばかりでした。
あの頃は、大手町との言い争いで一日が終わっていました。
こちらは出て行く立場ですので、遠慮がなくなって・・・」",6cc6a7dc445303a238708591a54400475f1844fffc6960b75ee7cdcad91c3c0a
26,26,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,215,Normal,,01 本文,TEXT_ONLY_REPLACE,語り尽くせないほどの悔しい想いが西郷の口からも、あふれる。,349ef9db47824f50bdc834245542478fc3107ceadaa639a8717ed679d132019c
27,27,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,216,Normal,,01 本文,TEXT_ONLY_REPLACE,"「そうだった・・・いろんなことがあったね。
それらを一つひとつ乗り越えて・・・よくここまできたなぁ」",b59cccab20c84cdb482761d39f8feeb36cf60d501473e46ca69fd70e1d991d24
28,28,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,217,Normal,,01 本文,TEXT_ONLY_REPLACE,寺田社長は、胸にこみあげてくるものを感じる。,d9b6eabf199f130375f4163d93d3fc65f3570478b88d7520ca6af5136892e8a2
29,29,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,218,Normal,,01 本文,TEXT_ONLY_REPLACE,"「ジェインに決まって、本当に良かったです。
やはり寺田社長は、何かを持っていますね」",dae853a0d8deb6cc46d415aa1b2e28b3cefc1b3b0b1f306ed0d44040de48cff7
30,30,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,219,Normal,,01 本文,TEXT_ONLY_REPLACE,西郷は、寺田社長の強い思いと、何か目に見えない大きな力が、この結果を導いてくれたと感じている。,50ecaab9b0e79b917685d70e91e21cf6e0c851a3ba6471e0fbe8959dd7b5e653
31,31,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,221,Normal,,01-04 ■小見出し,TEXT_ONLY_REPLACE,西園寺社長とその配下の官僚組織,61dfe29572502ce48dbf18fb3e2b35ed73096590be932ba106b2c5240de894b8
32,32,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,222,Normal,,01 本文,TEXT_ONLY_REPLACE,ふと、西郷が寺田社長に訊ねる。,955b3ef17a51cd536b852b6e827475f6356999cc49cbda191c81e9a1fb807d8f
33,33,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,223,Normal,,01 本文,TEXT_ONLY_REPLACE,「ところで今夜、我々がジェインと会うことを、西園寺社長はご存じなんですか？」,11431b35634190703f8f91942090cb83d9884a699cf59c5ecc8cf829f4196c23
34,34,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,224,Normal,,01 本文,TEXT_ONLY_REPLACE,"穏やかな笑みを頬にたたえながら、寺田社長は、
「うん、昨日、大手町に行く機会があったので、西園寺社長の耳に入れておいた。
クロージングまでは、まだ大手町がウチの親会社だからね」
と応える。",7599e3bd66a4a8596b75ee97eff17f9858698fd2238728aea321a689f8956853
35,35,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,225,Normal,,01 本文,TEXT_ONLY_REPLACE,「どんな反応をされました？」,6446ea383bcff3b6050a21b180b058527da36c6ff5d97ba37d24a04a09bffabb
36,36,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,226,Normal,,01 本文,TEXT_ONLY_REPLACE,"「『ジェインからの招待か』
と聞かれた。
『そうです』
と答えたら、少し思案顔だったが、
『行ってくればいい』
とおっしゃった」",ee80a0d7de41efdffc34099937cf637c84c0cb943a95cdcb7b447f6fd5f2f14e
37,37,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,227,Normal,,01 本文,TEXT_ONLY_REPLACE,「そうですか・・・」,514815bf19d04ebffb3c026c4fc0d0f582b5cc2b1e658dad596d474437219339
38,38,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,228,Normal,,01 本文,TEXT_ONLY_REPLACE,"「『クロージングはもう少し先だが、ジェインは、時間を無駄にしたくないのかもしれない』
と、西園寺社長は、おっしゃっていた。
『将来に向けて、いろいろと打ち合わせしたいのだろう』
って」",4b779b65b123e7c012ba6b977edec038c889f6045d543626e9a2fc44de436417
39,39,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,229,Normal,,01 本文,TEXT_ONLY_REPLACE,「なんやかんや言っても、西園寺社長は、我々のことを応援してくれているのですね・・・」,464dfd83372c4a76fe80c6b3b96ccd4db278e632a38d50cf083d5868ca9ee0ec
40,40,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,230,Normal,,01 本文,TEXT_ONLY_REPLACE,"西園寺社長が応援してくれても、問題は、その下の官僚組織だ。
社長が発した言葉がそのまま下に降りていくわけではない。
下は下で政治が渦巻いていて、何らかの意図をもって、社長の発言を勝手に解釈して、周囲に伝える人がいる。",50873e37115456004619ccbeb5a335eb76725c1743b9715fa6aae92cc4236ac3
41,41,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,231,Normal,,01 本文,TEXT_ONLY_REPLACE,"この件も、そうだった。
ディールの後半になると、特にその傾向が強くなっていったため、寺田社長は、都度、西園寺社長本人に真意を確かめながら、進捗を確認するようになった。
社長から直接聞いた内容と、下が言っている内容にギャップがあったことも多々あった。ニュアンスが違う。付加的な解釈が乗せられていることもあった。
何事も一筋縄ではいかないのが大手町だ。",7cbab8a36349e079ad17b1761a8268e8875614da67f39769a6e0709c0677af87
42,42,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,232,Normal,,01 本文,TEXT_ONLY_REPLACE,今夜の会食のことは、どこからも横やりが入っていない。,7c391166f97f1722ed17062663fec7a9ceb7ae5f18c9e45289df2cd27ca84671
43,43,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,233,Normal,,01 本文,TEXT_ONLY_REPLACE,"契約締結後とはいえ、クロージング前だ。
一般的には、クロージング前に、対象会社が買い手と直接やり取りすることを、売り手は好まない。
破談を誘発するようなことが偶然に起こらないとも限らないからだ。
仮に、今夜の会食のことをあの官僚組織が聞いたら、
『今は、そんなこと、やめてくれ』
と言うだろう。
開示も済んでいるのに、この件が破談になったら格好がつかない。",fc7aa8173932f825198a0057a6dd372277bc510c1d03ccce13913797386e5903
44,44,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,234,Normal,,01 本文,TEXT_ONLY_REPLACE,"『大手町より、子会社である私たちこそが、この件を破談にしたくないと思っている。そんなヘマはしないので大丈夫だ』
と反論しても、あの官僚組織には通じない。",ff6db297be2784d12db810e2a58ea6b2d65d9b19204fdffb41b0784950dfdd7a
45,45,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,235,Normal,,01 本文,TEXT_ONLY_REPLACE,"子会社の気持ちなど、歯牙にもかけない。
リスクの芽は、とにかく潰しておく、これが大手町の官僚組織のやり方である。",587c1c818c653239205a916b8bd38f24900e18e7afdb52307ffc17a1a64a7266
46,46,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,236,Normal,,01 本文,TEXT_ONLY_REPLACE,きっと西園寺社長は、今夜の会食のことを下には伏せてくれているのだろう。,f2d7a768ba85e746abd0bb11fffeff18630bbc04c0b326f1a1623e479040173d
47,47,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,238,Normal,,01-01 章 第◯章,TEXT_ONLY_REPLACE,第１章,de6f8ab5fd1e216942cfe48e9635ddb4d366844ff28a550a9767e13f50c7aab2
48,48,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,238,Normal,,01-01 章 タイトル,TEXT_ONLY_REPLACE,契約直後のミツカネ電子とジェイン,db7f65d8dfb0d7daf70718673a13220446698b2fe9efa77d6548c1efb86b0218
49,49,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,239,Normal,,01-02 節 見出し,TEXT_ONLY_REPLACE,１．ミツカネ電子とジェインの会食,ca33388c7d5a221df1fb51b4c88f4f05914f5f451528fe1e5d332b52cdc4c5a0
50,50,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,240,Normal,,01-04 ■小見出し,TEXT_ONLY_REPLACE,あのときと同じ部屋だ！,1650031cbbaecbb842f8a164ab13d1f248e85fa23f349d9620bc759e8054fa62
51,51,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,241,Normal,,01 本文,TEXT_ONLY_REPLACE,"「寒くなってきた。
そろそろいい時間だね」
と言う寺田社長の言葉に促されながら、西郷は、寺田社長のあとに続き、建物のなかに入った。",bddd2dc050f08467ab345dd4ded8256d25ff2c62e089ae0769b757319d93042c
52,52,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,242,Normal,,01 本文,TEXT_ONLY_REPLACE,「ジェインさんとの約束で」,e63b9ff903e5af8088554de7548dced3c3a80d59d972e124d86726b72b81214d
53,53,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,243,Normal,,01 本文,TEXT_ONLY_REPLACE,「ようこそ。お待ちしていました」,955f7464e2385c4ea9775c1a28237f08f616e20bc294969af46ddf090d212ade
54,54,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,244,Normal,,01 本文,TEXT_ONLY_REPLACE,お店の人が、特上の笑顔で、出迎えてくれる。,6e2c5ddfbb51561d2266c60022f643101c496751b922e90f912864f09fd3456e
55,55,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,245,Normal,,01 本文,TEXT_ONLY_REPLACE,"二人は、穏やかな表情で、お店の人に先導されて、会食の部屋に向かう。
廊下に置いてある巨大な樽の横を通り抜けたところで、西郷が
「あれっ？あのときと同じ部屋じゃないですか？」
と寺田社長にささやく。",81e5852017c6de9f869ebc6c61af89643a59bf3d32755f2d97c5562701b259b3
56,56,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,246,Normal,,01 本文,TEXT_ONLY_REPLACE,"「うん、そうかもしれない」
寺田社長が嬉しそうな表情で、うなずく。",2b07a836329f33abe457d08adc6ce86102de8b5a9bf92af33ea8bf5722cfc8bc
57,57,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,247,Normal,,01 本文,TEXT_ONLY_REPLACE,部屋に着くと、ジェインの日下部代表パートナーともう一人の男性が、寺田社長たちの到着を待っていた。,7eda10391e3488ad8e14af49f789b9ce33ab7052d12d913993be1ebb518c7477
58,58,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,248,Normal,,01 本文,TEXT_ONLY_REPLACE,（やはり同じ部屋だ。あの日もこうやって待ってくれていた）,88ca6d6a611ec96a72f8800b2cb78a039e857d11d0a28d1dcac2dd4f293fe7f5
59,59,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,249,Normal,,01 本文,TEXT_ONLY_REPLACE,「本日は、年末のお忙しいときに、お運び頂きまして、ありがとうございます」,4941334bb3be401d4d9756fa5685c27860a9fb27750487c531525816603714f9
60,60,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,250,Normal,,01 本文,TEXT_ONLY_REPLACE,"上機嫌の日下部代表パートナーが、寺田社長と西郷に駆け寄り、まずは寺田社長と、次に西郷と両手で固い握手をする。
そして、
「こちらは、これから電子を担当する米倉です。
もう、さん付けせず、これからは、『電子』と言いますね。身内になるわけですから」
と言い添えて、後ろに控えている米倉パートナーを、寺田社長と西郷に紹介する。",6ed451a04a3bff34da13749abc9abd8446a1ecde74df8f6bc4d41f94eae9c1c2
61,61,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,251,Normal,,01 本文,TEXT_ONLY_REPLACE,寺田社長と西郷がほほ笑みながら、うなずく。,84fdc8e8d03fcb48bf17ad953f8b66f508ecc0174f13afe2e6648e07e656ab01
62,62,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,252,Normal,,01 本文,TEXT_ONLY_REPLACE,"見た目、４０歳代だろうか。
ジェインのパートナーは皆そうだが、上質のスーツに身を包み、清潔感がある。
自信とエネルギーに満ち溢れ、物腰はスマートである。",b013d86dea12b66680349bf923198f2c38c0b71c8374acb60e4953ca6529ac33
63,63,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,253,Normal,,01 本文,TEXT_ONLY_REPLACE,「そうですか！それはそれは・・・今後ともどうぞよろしくお願いいたします」,40db2835976b1a8e329ae6130c1ff7ec07780acdfd8ac4dd844a6dd4c2e2b144
64,64,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,254,Normal,,01 本文,TEXT_ONLY_REPLACE,寺田社長と西郷は、米倉パートナーに名刺を差し出す。,c3abe84e2dab3df58847e5c74b3db5bd7f418231ea3547ac6b7853932e7576f7
65,65,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,255,Normal,,01 本文,TEXT_ONLY_REPLACE,"名刺交換が済んだことを確認した日下部代表パートナーは、
「寺田さんと西郷さんに初めてお会いしたのは、この部屋でした。
覚えていますか？」
と二人に語りかける。",43cd721a406cfd0136b3d1af1b1d17367b6245f19fecd577223f5ff7db638090
66,66,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,256,Normal,,01 本文,TEXT_ONLY_REPLACE,"大きくうなずく二人を見て、
「この部屋が、私たちの運命を作ってくれました。
だから、今日は、この部屋を選びました。
忘年会シーズンで、
『混んでいる』
と、お店の人に言われたのですが、
『どうしてもこの部屋を』
と無理をお願いしましてね」
と、傍で控えているお店のスタッフに、感謝の目配せをする。",4cb073b007f9e39a53072111374f6275ab571d776793e95657e30cac4cc12f97
67,67,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,257,Normal,,01 本文,TEXT_ONLY_REPLACE,"寺田社長も、これ以上ない笑みをこぼしながら、
「はい、我々も、
『すべてはここから始まったんだ』
と、ちょうど西郷と話していたところです。
こんなに暖かいお心遣いを頂戴しまして、本当に嬉しく思います。
この２年間、いろいろなことがありましたが、最終的に、ジェインさんに決まって、心から安堵しています。
『西園寺社長やミツカネ工業の関係者には感謝してもしきれない』
と、先ほど、西郷とも話をしていたところです」",a1bebfc97865b3a2518fb88a6c18c6f83f16e119b9c2ce6946a34ce0d1b84b18
68,68,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,258,Normal,,01 本文,TEXT_ONLY_REPLACE,"『西園寺社長に感謝』という言葉を聞いて安心したのか、日下部代表パートナーも、
「私どもも、とても感謝しています。
ディールの最中は、今日、このような場を設けられるかどうか、不透明な時期が何度かありました。でもこの結果に落ち着いて、本当に良かったです。
西園寺社長は、さすがに大社長ですね。
経営企画部にも、部長や大久保さんをはじめ、優秀な方々が揃っていることを、今回、改めて実感しました。
さすがミツカネさんです」
大手町のことを褒めあげながら、二人に席を促す。",2f90d22519e4a3e879eb93738c799999b0cc2a639c8febb8713366e88f7525ab
69,69,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,259,Normal,,01 本文,TEXT_ONLY_REPLACE,"ジェインは、ミツカネ工業と太い関係を築いてきた。
特に最後の局面では、価格を巡って、何度も真剣勝負の交渉がなされた。
投資ファンドは、数字を追いかける仕事である。
自分たちの主張をぶつけながらも、ミツカネ工業の考え方にも理解を示し、双方にとって、より良い条件を作ろうと努力した。Win-winだ。そういう建設的なジェインの姿勢に、ミツカネ工業も好感を持つようになり、今ではお互いをレスペクトする間柄だ。",eb70da4bd4ea27ce11735bcec8221c1b5a875a343af28df57ec8e3c0c4716928
70,70,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,260,Normal,,01 本文,TEXT_ONLY_REPLACE,"他方、このディールの対象会社である電子とは、オークションの最中には、会うことを禁じられていた。
そのためジェインにとってみると、少なくとも足元の半年くらいは、電子より、親会社のミツカネ工業と会っていた時間のほうが長かった。",deeadedc071c99948f4e909147558aa3cc0e89873c8c09fc9a1b23516b0e470a
71,71,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,262,Normal,,01-04 ■小見出し,TEXT_ONLY_REPLACE,門出祝い,4065de9d45e20532d00fd1c0f0241a18a8d1c1546a3d84a7775b8bcf0be28ee1
72,72,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,263,Normal,,01 本文,TEXT_ONLY_REPLACE,"席に着いた寺田社長は、
「本来は、こちらからご挨拶に伺うべきところですが、今日は、このような場を設定して頂きまして、ありがとうございます」
と今日、何度目かの頭を下げる。",057e667ae96789529b8ae269c0ce7dc79496575fe0040f03f1e9d361a9afdf51
73,73,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,264,Normal,,01 本文,TEXT_ONLY_REPLACE,"「まぁまぁ。堅苦しいことは抜きにして。
今日は晴れて私たちの門出です。
おおいに祝いましょう。
これから我々は、運命共同体です。
どんな細かいことについても、話をして、お互い、理解を深めていきたいと思います」
日下部代表パートナーは、満面の笑みをたたえながら、こう返した。",914523808903d482ce0b0e6177b76b5ec6fcb2ff3b8d14b6047355dbe7931382
74,74,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,265,Normal,,01 本文,TEXT_ONLY_REPLACE,"シャンパンが注がれたことを確認した日下部代表パートナーは、寺田社長と西郷それぞれの目をしっかりと見ながら、
「それでは、電子の益々の発展と、一同の健康を祈って！」
と、高らかに
『乾杯！』
と発声する。",12a6a7bfa48279296fa30664879b3fc80e42c1e752c3e982a04e18d0ed82ee93
75,75,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,266,Normal,,01 本文,TEXT_ONLY_REPLACE,「乾杯！」,f8aa84d812a43821b82fc8ca20453c978883a4bc9a96507fe7b07126d2fe2606
76,76,子会社売却のPMI(5).docx,,story_00_prologue_ch01_rt01,,,267,Normal,,01 本文,TEXT_ONLY_REPLACE,杯を掲げて、４人とも、美味しそうにシャンパンを頂く。,033854085882da9df481274321667416cc09a1f2f87962cda77425efe96badd0
